symbol,description
Ga,No gestures at all
Ht,"The head tilt is an open and vulnerable gesture. We tilt our heads when we are curious, flirtatious or attempting to appear innocent. This is why this gesture is listed with Sq, Ye and Ip. You'll see Pe appear when someone is explaining a point they want to communicate very clearly in a friendly environment.

The first conflicting behaviour listed is Jc. This behaviour could indicate that the gesture was a sign of anger, aggression or a challenge. Males (and sometimes females) will expose vital parts of the body in order to appear fearless to their adversary.

The second conflicting behaviour is Tp, as the head-tilt is sometimes associated with boredom. Feigned boredom is far more likely to present with a head tilt than actual boredom is.

Some research, including that of Desmond Morris, details the possible or observed differences between the leftward and rightward tilt of the head. Thus far, no significant study has been conducted to validate these observations and the direction of tilt in the BToE is irrelevant."
Ct,"The chin thrust is a gesture that has cultural implications in the Middle East and some southern Asian countries such as the southern Ukraine and the Slavic Republic. In the exceptional regions, the chin thrust is communicated very regularly in conversation to indicate agreement and to point directions in lieu of an extended finger and arm in America.

In the BToE there are two variations. One is used as a deliberate movement while in conversation and the other is a seemingly involuntary and short-lived micro-gesture of sorts.

In the first variable, the majority to communicate anger, dissatisfaction or a challenge between competing humans uses the chin thrust. The chin thrust is usually a challenge in the USA and is so due to the deliberate exposure of the vital organs to another person.

The second variable is actually a ventilating gesture used mostly by men. This type of chin thrust is a way for men to adjust the collar of a collared shirt without having to use their hands to do so.

You'll notice that the sexual propensity field contains '1U/2M', meaning that variable 1 is universal and variable 2 is performed by mostly men."
Ef,"The eyebrow flash is common among almost every developed culture. When performing this gesture, subjects will quickly raise and lower their eyebrows, usually upon greeting another person. Anger makes the face crumple and lowers the eyebrows significantly. This gesture raises the eyebrows and is used to convey friendliness, trustworthiness and vulnerability.

Constantly-raised eyebrows can indicate anger and fear and is used frequently to communicate an extremely important point with emphasis. Parents frequently will do this when scolding children.


This is divided into two separate gesture variations: 1. The Eyebrow flash: Ef1 2. The constant raised eyebrows expression: Ef2

Note:

When people see someone give them an eyebrow flash, an unconscious phenomenon takes place that causes the majority of people to return the eyebrow flash gesture unconsciously and most people aren't aware they have even made that expression after they've done it."
Hd,"The downcast head has multiple meanings given contextual reference, but the majority of these gestures are used when a subject is experiencing shame, guilt, submissiveness, and personal anger.

The ~ symbol before the U in the sexual propensity field indicates that both sexes perform this action and it is sometimes used more often by women, especially during the early stages of flirtation and courtship.

Gpr is indicated here to show that this behaviour will display contraindications of typical downward head behaviour. This is seen regularly in abused spouses, sexually abused children, and children who are frequently bullied in school."
Lc,"There are several gestures that involve lip compression, but this expression is one that is almost universally indicative of someone suppressing opinions. This action creates a barrier that prevents them from speaking and you'll see this in conversations on a daily basis. While lip compression is usually performed when someone is holding back information, it doesn't mean deception is likely at all. Social rules and norms, peer pressure, and societal influences cause us to hold our tongues regularly in conversation.

The only time it will be extremely significant is if you are observing a subject listening to a hypothetical re-enactment of a crime or being provided possible reasons the crime committed is an understandable and somewhat acceptable offense given the circumstances. This will sound alarms. The above scenario is simply an example and should not hinder an analyst from making a judgment call on a behaviour involving Lp that seems deceptive in context."
Ts,"This behaviour is universally anti-social in conversation and thus becomes an aggressive behaviour when deliberately performed in the conversational presence of others.

Variables

1. Sucking teeth as a deliberate anti-social act

2. Sucking teeth as a hygienic gesture"
Tu,"Turtling behaviour is seen when the shoulders draw upward and the head is lowered downward simultaneously. This behaviour protects the neck and other vital organs and is a fear-based gesture. Children who have been abused will frequently display this in interviews and when approached by unknown strangers. (Darwin, 1872) These children will also reflexively turtle their bodies in response to sudden movements by a nearby abusive parent. (Schutz, 1958)

The gesture occurs in adults when fear is present and should be contextually relevant to arouse any suspicion of deception in interview scenarios.

This is a temperature-affected behaviour and is more common in colder temperatures."
Om,"The insertion of any object into the mouth by a subject is not likely to be deceptive behaviour. This behaviour is performed mostly out of a need for reassurance or due to uncertainty.

Men and women do this equally. 2 This cell also includes the biting of the lip wherein the lip actually passes into the mouth.

A simple 'lip' can be annotated in the comments section of the accompanying gesture block in the interrogator's notebook."
Jc,This nonverbal cue is seen in the jaw muscles and the temple area. It suggests a subject is withholding aggressive action or feelings most of the time and can also signify latent hostility or anger at what is being done or discussed.
